ID,Lat,Lon,pm25_value,AOD550,temp_2m,rhum,zonal_wind_10m,merid_wind_10m,surf_pres,hpbl,conv_prec,short_radi_surf,NDVI,DEM,Population,distance,NLCD_Developed,year,month,doy,rid
2577,-12.163311,-76.9192429,17.85714092,0.137734655,288.692748,85.43472,-0.557022707,1.253817032,83309.6119,325.1406357,0.0,110.463209814815,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,15,2
2577,-12.163311,-76.9192429,28.01402446,0.135488641,288.6744731,86.60984,-0.73907126,0.531962847,83340.41436,339.011379,0.0,86.6840240277778,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,17,2
4454,-11.8665352,-77.0730057,27.115625,0.141654868,287.8136687,83.1922,-0.697346628,0.568417939,81372.87247,530.2015995,0.00754,85.7336127430556,0.1187,186.0,8745,4037.168725,0.7566839444,2016,1,17,2
2577,-12.163311,-76.9192429,22.88404325,0.1338848,289.6225743,85.30448,-0.676897491,0.756954036,83355.3014,259.2615017,0.0,98.4567433217593,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,18,2
4454,-11.8665352,-77.0730057,35.90444444,0.156182327,288.3871249,82.35585,-0.624946298,0.806174042,81388.33259,498.5902989,0.0,97.1804974074074,0.1187,186.0,8745,4037.168725,0.7566839444,2016,1,18,2
2577,-12.163311,-76.9192429,26.96401833,0.144067713,290.0421159,89.92137,-0.434992419,0.579807936,83344.62727,212.997655,0.0117,91.1427406828704,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,19,2
4454,-11.8665352,-77.0730057,25.19125,0.149273707,288.924757,89.05987,-0.38904404,0.607947741,81383.2635,377.1814421,0.152539,88.9133080671296,0.1187,186.0,8745,4037.168725,0.7566839444,2016,1,19,2
2577,-12.163311,-76.9192429,29.18749988,0.146455602,290.2980756,88.3569,-0.058199109,0.775024544,83434.5333,288.5237277,0.0308,92.3365647337963,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,20,2
4454,-11.8665352,-77.0730057,23.58020833,0.14785843,289.2223026,86.95431,0.105351515,0.855908233,81466.03275,490.1178557,0.0789,89.1363133449074,0.1187,186.0,8745,4037.168725,0.7566839444,2016,1,20,2
2577,-12.163311,-76.9192429,22.929799,0.151344032,289.5627182,92.77334,-0.053231666,1.450088602,83370.48396,356.5741372,0.0228,93.4569131597222,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,21,2
4454,-11.8665352,-77.0730057,24.48833333,0.156556049,288.4707393,92.04205,-0.164060544,1.349723092,81397.61086,703.4384993,0.142802,93.6355749305555,0.1187,186.0,8745,4037.168725,0.7566839444,2016,1,21,2
2577,-12.163311,-76.9192429,22.08424292,0.139175947,290.1353778,89.52052,-0.301110877,1.311406153,83323.16271,346.1251047,0.0803,91.9140649074074,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,22,2
4454,-11.8665352,-77.0730057,25.2605,0.152448992,289.1462785,87.6228,-0.372481962,1.253179029,81360.24171,681.3134029,0.13082,94.1430544791667,0.1187,186.0,8745,4037.168725,0.7566839444,2016,1,22,2
2577,-12.163311,-76.9192429,19.84985292,0.156436386,290.6517816,87.69596,-0.397882297,1.305535034,83389.81723,349.6851181,0.0534,99.1186903819444,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,23,2
4454,-11.8665352,-77.0730057,23.62133333,0.178294654,289.4077634,86.2019,-0.540959985,1.23531974,81425.90996,558.3644281,0.15534,101.520143460648,0.1187,186.0,8745,4037.168725,0.7566839444,2016,1,23,2
2577,-12.163311,-76.9192429,17.18872638,0.159994119,290.615936,89.41126,-0.143841499,1.436727152,83326.87189,360.056691,0.0409,99.1951384837963,0.1591,328.3076923,2589,6474.234323,0.0189896755,2016,1,24,2
4454,-11.8665352,-77.0730057,21.30841667,0.165355681,289.3678363,88.20965,-0.28313355,1.335996679,81365.87342,524.1875701,0.0664,100.676117708333,0.1187,186.0,8745,4037.168725,0.7566839444,2016,1,24,2
2577,-12.163311,-76.9192429,29.40635542,0.162081972,289.6283119,92.89728,-0.032024661,0.690040083,83454.91756,369.2266929,0.0533,92.1913993518519,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,1,25,2
